date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-10,0.1,0.6,-0.1,-0.3,-0.3,0.1,-0.9,-4.4,-6.1,-7.2,-8.3
2017-11-13,-0.5,1.0,-0.6,0.3,0.3,-0.1,-1.0,-3.7,-5.9,-7.0,-8.1
2017-11-14,-0.6,0.1,-1.1,0.7,0.7,-0.5,-1.4,-3.4,-6.0,-7.1,-8.2
2017-11-15,0.0,0.4,-0.4,-0.9,-0.9,0.2,-0.3,-1.6,-4.6,-5.8,-6.9
2017-11-16,-0.6,0.1,-0.6,0.9,0.9,-0.5,-0.9,-1.6,-4.8,-6.2,-7.3
2017-11-17,0.7,0.8,-0.4,-0.7,-0.7,0.2,-0.1,-0.8,-3.5,-5.2,-6.3
2017-11-20,0.3,0.6,-0.3,-0.3,-0.3,0.5,0.3,-0.4,-2.5,-4.4,-5.6
2017-11-21,-0.6,0.0,-1.0,1.2,1.2,-0.7,-0.7,-1.3,-2.9,-5.1,-6.2
2017-11-22,-1.3,0.4,-1.3,1.5,1.5,-1.6,-1.9,-2.4,-3.5,-5.9,-7.1
2017-11-24,-2.1,0.1,-2.1,2.6,2.6,-3.2,-3.9,-4.4,-5.0,-7.6,-8.9