วันที่,เปิด,สูงสุด,ต่ำสุด,ปิด,ปิดปรับ,เพิ่ม5,เพิ่ม10,เพิ่ม15,เพิ่ม20,เพิ่ม25,เพิ่ม30
2017-12-18,0.3,0.9,-0.0,-0.1,-0.1,0.0,-0.1,-0.1,-0.7,-0.9,-0.8
2017-12-19,0.7,0.9,-0.1,-0.6,-0.6,0.5,0.4,0.5,0.0,-0.3,-0.2
2017-12-20,-0.3,0.3,-0.4,0.5,0.5,-0.0,-0.0,0.1,-0.4,-0.8,-0.7
2017-12-21,-0.6,0.5,-1.1,1.2,1.2,-1.0,-1.1,-1.1,-1.4,-1.9,-1.8
2017-12-22,-0.1,0.1,-0.4,0.1,0.1,-0.9,-1.0,-1.2,-1.4,-1.8,-1.9
2017-12-26,-0.0,0.5,-0.1,0.0,0.0,-0.7,-0.9,-1.1,-1.2,-1.7,-1.9
2017-12-27,0.1,0.2,-0.2,-0.1,-0.1,-0.2,-0.7,-1.0,-1.0,-1.4,-1.8
2017-12-28,-0.0,0.0,-0.3,0.1,0.1,-0.1,-0.7,-1.0,-1.0,-1.4,-1.8
2017-12-29,0.4,0.7,0.0,-0.5,-0.5,0.3,-0.2,-0.4,-0.5,-0.8,-1.3
2018-01-02,-1.4,0.2,-1.6,1.7,1.7,-1.1,-1.6,-1.9,-2.1,-2.3,-2.7