วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่มขึ้น5%,เพิ่มขึ้น10%,เพิ่มขึ้น15%,เพิ่มขึ้น20%,เพิ่มขึ้น25%,เพิ่มขึ้น30
2017-12-21,-1.2,1.3,-1.4,1.7,1.7,-2.0,-3.1,-3.9,-4.7,-5.5,-6.7
2017-12-22,0.2,0.6,-0.3,-0.4,-0.4,-1.0,-2.4,-3.1,-3.9,-4.8,-5.9
2017-12-26,-0.9,0.7,-1.0,0.5,0.5,-1.0,-2.6,-3.2,-4.0,-4.9,-6.0
2017-12-27,0.8,0.9,-0.6,-0.9,-0.9,0.2,-1.4,-2.0,-2.8,-3.7,-4.7
2017-12-28,-0.0,0.3,-0.5,0.1,0.1,0.3,-1.0,-1.8,-2.6,-3.5,-4.4
2017-12-29,0.7,1.5,-0.0,-0.8,-0.8,0.8,0.1,-0.8,-1.7,-2.4,-3.3
2018-01-02,-1.2,0.2,-2.1,1.8,1.8,-0.8,-1.3,-2.4,-3.1,-3.9,-4.7
2018-01-03,1.0,1.0,-0.5,-1.2,-1.2,0.2,0.1,-1.0,-1.7,-2.4,-3.2
2018-01-04,-0.4,3.3,-0.8,0.6,0.6,-0.3,-0.3,-1.4,-2.0,-2.7,-3.5
2018-01-05,0.2,0.4,-0.4,-0.0,-0.0,-0.2,-0.1,-1.0,-1.6,-2.4,-3.2