วันที่,เปิด,สูงสุด,ต่ำสุด,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30%
2017-10-27,0.4,0.5,-0.8,-0.7,-0.7,1.1,0.4,-1.0,-2.1,-3.0,-3.7
2017-10-30,-1.2,0.2,-1.4,1.2,1.2,-0.4,-0.5,-1.8,-2.9,-3.8,-4.5
2017-10-31,0.0,0.4,-0.2,-0.1,-0.1,-0.4,-0.0,-1.4,-2.5,-3.4,-4.1
2017-11-01,0.4,0.4,-0.6,0.8,0.8,-0.9,-0.5,-1.7,-2.8,-3.8,-4.6
2017-11-02,-0.6,0.8,-1.3,0.9,0.9,-1.4,-1.3,-2.2,-3.3,-4.3,-5.1
2017-11-03,0.8,1.1,-0.3,-1.0,-1.0,-0.0,-0.3,-0.8,-2.0,-3.0,-3.8
2017-11-06,0.1,0.3,-0.5,0.1,0.1,0.0,-0.5,-0.7,-1.8,-2.8,-3.7
2017-11-07,0.2,0.8,-0.2,0.2,0.2,0.0,-0.7,-0.7,-1.7,-2.7,-3.6
2017-11-08,0.3,0.8,-0.1,-0.1,-0.1,0.2,-0.4,-0.3,-1.3,-2.3,-3.2
2017-11-09,-1.0,0.4,-1.6,0.8,0.8,-0.6,-0.9,-1.0,-1.7,-2.7,-3.6