วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5,เพิ่ม10,เพิ่ม15,เพิ่ม20,เพิ่ม25,เพิ่ม30
2017-10-24,-1.5,0.0,-2.2,2.8,2.8,-2.2,-2.6,-3.4,-4.1,-4.9,-5.3
2017-10-25,3.8,6.0,-1.8,-3.5,-3.5,1.2,1.1,0.2,-0.4,-1.3,-1.7
2017-10-26,1.0,1.4,-0.6,-0.1,-0.1,1.1,1.3,0.2,-0.2,-1.0,-1.5
2017-10-27,0.7,1.3,-1.6,-3.8,-3.8,4.1,4.9,4.1,3.8,2.9,2.5
2017-10-30,0.9,2.3,0.0,-1.3,-1.3,4.3,5.4,5.3,5.0,4.3,3.8
2017-10-31,-0.3,0.4,-1.0,0.3,0.3,2.2,4.4,4.8,4.5,4.0,3.4
2017-11-01,0.1,2.2,-0.8,2.9,2.9,-1.1,1.2,1.9,1.5,1.3,0.6
2017-11-02,0.3,2.4,-0.6,-1.0,-1.0,-0.7,1.8,2.8,2.4,2.3,1.7
2017-11-03,0.4,0.8,-0.8,-0.6,-0.6,-0.1,1.9,3.1,2.9,2.9,2.3
2017-11-06,-2.1,0.1,-2.7,3.5,3.5,-2.5,-1.6,-0.6,-0.4,-0.5,-1.0